Gender,Age,Grading?
Male,16,2
Male,18,5
Male,16,4
Female,18,3
Female,19,5
Male,16,4
Female,18,3
Female,16,5
Male,18,4
Male,18,4
Female,16,3
Male,16,3
Female,16,3
Female,19,3
Male,18,4
Female,18,2
Female,19,5
Female,19,4
Male,18,4
Female,18,3
Female,18,3
Male,19,4
Female,22,3
Male,25,5
Female,16,3
Male,22,5
Female,18,3
Female,16,4
Male,22,4
Female,19,3
Male,18,5
Female,16,3
Male,19,2
Male,18,4
Male,16,4
Male,19,4
Male,18,4
Male,16,5
Female,19,5
Female,18,4
Male,22,4
Male,16,5
Female,19,4
Male,19,3
Male,18,3
Male,18,4
Female,18,4
Female,16,5
Male,19,4
Male,19,4
Male,19,5
Female,16,3
Male,18,4
Male,19,3
Male,19,2
Male,20,4
Male,18,3
Female,25,4
Female,20,2
Male,20,5
Male,22,5
Female,18,1
Male,19,3
Male,18,4
Male,20,4
Female,19,4
Male,22,4
Female,18,4
Male,18,2
Female,20,1
Female,19,5
Male,22,4
Female,19,3
Female,18,4
Male,20,4
Female,19,3
Female,18,3
Female,18,3
Female,18,4
Female,25,3
Male,20,4
Male,19,3
Female,20,3
Female,19,4
Female,18,4
Female,18,3
Male,18,5
Male,20,3
Female,19,3
Male,20,3
Male,19,3
Male,18,4
Male,18,3
Female,18,5
Female,20,4
Female,20,4
Female,19,3
Female,19,4
Female,18,3
Male,18,4
Male,22,5
Male,19,5
Female,25,3
Female,20,4
Male,18,4
Male,19,3
Female,18,4
Male,18,4
Male,18,4
Female,18,3
Male,22,3
Male,20,4
Female,20,4
Female,20,3
Male,18,4
Male,18,5
Male,18,4
Female,20,4
Male,20,4
Male,20,4
Male,25,1
