Gender,Age,circulate
Male,16,No
Male,18,Yes
Male,16,Yes
Female,18,No
Female,19,No
Male,16,No
Female,18,No
Female,16,Sometimes
Male,18,No
Male,18,Sometimes
Female,16,Yes
Male,16,Yes
Female,16,No
Female,19,Sometimes
Male,18,Sometimes
Female,18,No
Female,19,No
Female,19,No
Male,18,Sometimes
Female,18,No
Female,18,Sometimes
Male,19,Yes
Female,22,Sometimes
Male,25,Yes
Female,16,No
Male,22,No
Female,18,No
Female,16,No
Male,22,No
Female,19,No
Male,18,No
Female,16,No
Male,19,No
Male,18,No
Male,16,No
Male,19,No
Male,18,No
Male,16,Sometimes
Female,19,No
Female,18,No
Male,22,No
Male,16,Yes
Female,19,Sometimes
Male,19,No
Male,18,No
Male,18,Yes
Female,18,No
Female,16,No
Male,19,No
Male,19,No
Male,19,Sometimes
Female,16,No
Male,18,Yes
Male,19,Sometimes
Male,19,Yes
Male,20,Sometimes
Male,18,No
Female,25,No
Female,20,Sometimes
Male,20,No
Male,22,No
Female,18,No
Male,19,Sometimes
Male,18,No
Male,20,Yes
Female,19,No
Male,22,No
Female,18,No
Male,18,No
Female,20,No
Female,19,No
Male,22,Sometimes
Female,19,No
Female,18,No
Male,20,No
Female,19,No
Female,18,No
Female,18,No
Female,18,No
Female,25,No
Male,20,No
Male,19,No
Female,20,No
Female,19,No
Female,18,No
Female,18,No
Male,18,Sometimes
Male,20,Yes
Female,19,No
Male,20,Sometimes
Male,19,No
Male,18,Sometimes
Male,18,Sometimes
Female,18,No
Female,20,Sometimes
Female,20,No
Female,19,No
Female,19,No
Female,18,No
Male,18,No
Male,22,Yes
Male,19,No
Female,25,No
Female,20,No
Male,18,No
Male,19,Sometimes
Female,18,No
Male,18,No
Male,18,Sometimes
Female,18,No
Male,22,Yes
Male,20,Sometimes
Female,20,No
Female,20,No
Male,18,Sometimes
Male,18,Yes
Male,18,No
Female,20,No
Male,20,No
Male,20,Yes
Male,25,No
